date      <=_0   Lo_30  Med_40   Hi_30   Lo_20   Qnt_2   Qnt_3   Qnt_4   Hi_20   Lo_10   Dec_2   Dec_3   Dec_4   Dec_5   Dec_6   Dec_7   Dec_8   Dec_9   Hi_10
197409  -13.78  -15.13   -7.10   -5.27  -15.90   -9.27   -7.49   -7.11   -4.03  -16.45  -15.57  -11.68   -6.75   -9.25   -5.17   -7.05   -7.22   -3.21   -4.70
197410   13.76   21.46   15.29    6.85   21.69   18.61   17.40   12.01    4.70   22.97   20.95   20.48   16.76   21.27   12.52   12.84   10.32    8.73    1.34
197411   -4.99   -4.26   -3.84   -3.13   -4.72   -2.52   -3.78   -4.35   -2.67   -4.65   -4.76   -2.27   -2.79   -5.40   -1.60   -4.60   -3.83   -1.68   -3.54
197412   -8.69   -4.37    0.04   -1.75   -4.33   -2.98   -1.20    1.37   -3.03   -4.28   -4.36   -4.56   -1.36    0.16   -2.98    1.93    0.23   -1.90   -4.05
197501   27.42   10.88   13.65   21.85   10.22   12.82   15.44   15.40   23.52    7.68   11.73   13.69   11.95   13.11   18.58   13.49   19.38   18.36   28.26
197502    8.32    9.73    2.80    1.49   10.20    4.97    2.23    3.06    1.25    9.45   10.63    7.79    2.13    3.24    0.93    3.66    1.85    1.20    1.29
197503    8.15    3.35    3.15    0.96    3.43    3.72    5.66    0.28    1.68    4.19    3.00    3.04    4.44    5.91    5.34    0.49   -0.13    0.32    2.84
197504    8.36    5.40    5.06    0.74    5.27    7.37    4.64    2.38    0.27    6.50    4.56    5.98    8.83    5.14    3.97    2.82    1.47   -1.41    1.66
197505    8.09    5.54    4.65    7.20    5.58    4.63    4.64    6.45    5.99    4.89    5.99    5.36    3.89    4.99    4.18    5.21    9.06    6.10    5.90
197506    7.13    3.41    6.33    7.94    2.58    6.75    6.50    5.90    9.52    3.32    2.15    6.91    6.57    5.64    7.67    6.03    5.63    7.42   11.25
197507   -6.08   -8.35   -4.36   -3.76   -8.43   -7.24   -4.55   -3.40   -3.43   -8.32   -8.50   -8.18   -5.76   -4.07   -5.20   -2.68   -4.09   -3.91   -2.66
197508   -5.47   -2.60   -2.06   -1.70   -3.35   -1.46   -1.85   -2.58   -0.60   -4.25   -2.67   -1.05   -2.07   -1.40   -2.47   -2.30   -2.84   -0.68   -0.48
197509   -4.44   -4.94   -3.05   -1.89   -5.82   -3.30   -4.15   -1.26   -2.41   -6.70   -5.17   -3.16   -3.52   -4.76   -3.29   -1.19   -1.33   -2.68   -2.00
197510    3.11    6.54    5.61    5.51    6.24    6.39    6.10    5.50    5.40    3.81    8.01    7.14    5.22    5.59    6.80    5.38    5.62    4.91    6.16
197511    1.98    3.10    3.06    3.42    2.48    3.81    3.76    3.00    3.11    0.35    3.98    4.31    3.00    3.21    4.52    2.23    3.75    2.64    3.84
197512   -0.96   -2.44   -0.31    0.49   -2.73   -1.90   -0.13    1.04   -0.04   -2.48   -2.91   -1.89   -1.91   -0.35    0.18    1.04    1.04   -0.29    0.35
197601   20.54   11.81   13.37   11.80   11.35   13.15   15.24   10.88   12.38   13.21   10.07   12.68   13.90   15.70   14.61   10.55   11.20   13.73   10.33
197602    8.30   -1.62    2.53    0.96   -2.49    1.00    3.26    1.76    0.04   -2.32   -2.60    0.03    2.54    3.03    3.56    1.59    1.92    0.47   -0.64
